time,eventname,numLines,languageId,ide,extname,extversion,user
2023-11-30T08:30:10.301Z,agent/ghostText.shown,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,testuser2
2023-11-30T08:30:12.928Z,agent/ghostText.shownFromCache,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,testuser2
2023-11-30T08:30:14.184Z,agent/ghostText.shownFromCache,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,testuser2
2023-11-30T08:30:18.340Z,agent/ghostText.shown,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,testuser2
2023-11-30T08:30:23.969Z,agent/ghostText.shown,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,testuser2
2023-11-30T08:30:24.660Z,agent/ghostText.accepted,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,testuser2
2023-11-30T08:30:26.089Z,agent/ghostText.shown,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,testuser2
2023-11-30T08:30:26.680Z,agent/ghostText.accepted,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,testuser2
2023-11-30T08:30:28.073Z,agent/ghostText.shown,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,testuser2
2023-11-30T08:30:28.884Z,agent/ghostText.accepted,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,testuser2
2023-11-30T08:30:30.497Z,agent/ghostText.shown,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,testuser2
2023-11-30T08:30:31.184Z,agent/ghostText.accepted,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,testuser2
2023-11-30T08:30:36.644Z,agent/ghostText.shown,5,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,testuser2
2023-11-30T08:30:37.242Z,agent/ghostText.accepted,5,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,testuser2
2023-11-30T08:34:33.172Z,copilot/ghostText.shown,1,csharp,vscode/1.84.2,copilot,1.139.0,testuser2
2023-11-30T08:34:39.355Z,copilot/ghostText.shown,4,csharp,vscode/1.84.2,copilot,1.139.0,testuser2
2023-11-30T08:34:40.190Z,copilot/ghostText.accepted,4,csharp,vscode/1.84.2,copilot,1.139.0,testuser2
2023-11-28T14:45:37.376Z,copilot/ghostText.shown,1,csharp,vscode/1.84.2,copilot,1.138.0,liczha
2023-11-28T14:45:38.915Z,copilot/ghostText.accepted,1,csharp,vscode/1.84.2,copilot,1.138.0,liczha
2023-11-28T14:45:40.243Z,copilot/ghostText.shown,5,csharp,vscode/1.84.2,copilot,1.138.0,liczha
2023-11-28T14:45:41.028Z,copilot/ghostText.accepted,5,csharp,vscode/1.84.2,copilot,1.138.0,liczha
2023-11-28T16:16:53.003Z,agent/ghostText.shown,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,liczha
2023-11-28T16:16:53.696Z,agent/ghostText.accepted,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,liczha
2023-11-28T16:16:55.160Z,agent/ghostText.shown,1,python,JetBrains-PY/232.10203.26,copilot-intellij,1.4.0.3748,liczha